Title,Artist
Step by Step in Time,Benny Rivers
What About Us,Michael Jackson
Bellissima,Italian Atmosphere
Jackson 5 - I'll Be There,
I'll Be There (Live At Motown 25),Michael Jackson & The Jacksons
"Sugar, Sugar",The Archies
The last waltz,Engelbert Humperdinck
Digidi Digidi,DJ.Ilham
Bailando,Enrique Iglesias
Come Prima,Patrizio Buanne
Come Prima,Jimmy Fontana
Tie A Yellow Ribbon Round The Old Oak Tree,Dawn
I Think They Call This Love,Elliot James Reay
Green Fields,Brothers Four
I Will Follow You,Rick Nelson
16 Time To Say Goodbye,Sarah Brightman
Let's Twist Again,Chubby Checker
Make It Spectacular,Kimo Sound
Every Breath You Take,Babak Rahnama
Ye Nafar Pish Falak Rish Gero Begzar,Sajad Arab
L'Italiano feat.,Matteo Brancaleoni
Un Monde Avec Toi,Paul Mauriat
Cielito Lindo,Luciano Pavarotti
Haz Kardam,Shahrokh
Con la Misma Piedra,Julio Iglesias
Champagne (Vers. originale),Peppino di Capri
Tamo e Tamero,Pepino Gagliardi
La Vita e Bella,Café Voyage
Amore Mio,Bruno Ferrara
Sto Bene Così (Extended Version),Italiano Lento with Ale
I Will Wait For You,Connie Francis
Come l'Arancio Amaro,Italian Atmosphere
Mexicana - Malagueña Salerosa,Nana Mouskouri
I Just Call To Say I Love You,Stevie Wonder
La Riva Ti Aspetta Ancora,Luca Marcelli
Div-e Tanhaei (Setareh),Fereydoun Farrokhzad
Il Volo - Eternally (Cover Audio),
Shadoomad,Rastak Group
Ze Pooche Jahan Hich Agar Doo,Farhad
Zende Yad Farhad Mehrad - To Ra Doost Daram,Farhad
Cara De Gitana,Daniel Magal
Wellerman (Sea Shanty),Nathan Evans
Papaoutai,"Mikeeysmind ft Chill77, Unjaps"
Boye Pirahan Yousef,WikiSeda
The Symphony Of The Epic Of Khorramshahr,
Schindler's List Main Theme (Tribute),
Habib,Bezan Baran
Açma Züüflerin - Psychedelic Anatolian,Turkish Ritim House
Michael Jackson - Don't Stop 'Til You Get Enough,Michael Jackson
Cancion del Mariachi,Los Lobos
Esce Ma Non Mi Rosica,Nanowar of Steel
Come un Ragazzino,Peppino Gagliardi
Che Vuole Questa Musica Stasera,"Armando Trovajoli, Peppino Gagliardi"
Stranger In The Night,Engelbert Humperdinck
Engelbert Alone In The Night (1988),Engelbert Humperdinck
Caruso,Mireille Mathieu
To Bio,Monir Vakili
Vay Vay Joon Maryam,Onik
Goli,Saeed Shayesteh
Fall On Me,"Andrea Bocelli, Matteo Bocelli"
What a Wonderful World,Louis Armstrong
Dark Eyes,Russian Folk Songs
Dark Eyes,Louis Armstrong
La Camisa Negra,Malando
Ho Capito Che Ti Amo,Luigi Tenco
Love In Portofino (Live In Italy / 2013),Andrea Bocelli
Sapore di Sale,Gino Paoli
Lambada (Original Version 1989),
Emmanuelle,Fausto Papetti
"Un Jour Tu Ris, Un Jour Tu Pleures",Julio Iglesias
A Time For Us,Engelbert Humperdinck
The Logical Song,Supertramp
Just To Be In Love,"Alex Rasov, Al Rashid Ismael"
Evgeny Kissin - La Campanella (Liszt),
O Sole Mio,Luciano Pavarotti
Moje Masti,Viguen
Habanera from Carmen,Georges Bizet
The Shadow of the Mountain,Chris de Burgh
No Quiero Envejecer,La Sonora Dinamita de Lucho Argain
Saghar Am Shekast Ey Saghi,Homayoun Khorram
Granada,Luciano Pavarotti
Granada,Il Volo
Now We Are Free,Hans Zimmer
Misirlou,Ara Malikian
Flowers,Miley Cyrus
When I Need You,Leo Sayer
Aalam-e Yekrangi,Hayedeh
La Nave Del Olvido,José José
That's Amore,Dean Martin
Hamzaboonam Bash,Homeyra
Begoo Che Konam,Hayedeh
Surrender (Arena Di Verona),Il Volo
"Torna A Surriento (June 25, 2014)",Il Volo
Bahare Man Gozashteh Shayad,Emad Raam
Caruso,Luciano Pavarotti
Chella 'lla,Renato Carosone
O Sole Mio,Il Volo
Historia de un Amor,Il Volo
I Giardini di Marzo,Eugenio Finardi
I Giardini di Marzo,Lucio Battisti
Come Prima,Tony Dallara
Rigoletto,Verdi
La Donna e Mobile,Luciano Pavarotti
Turandot: Nessun Dorma,Il Volo
Nessun Dorma,Luciano Pavarotti
How Do I Stop Loving You,Engelbert Humperdinck
La Vita è Bella,Nicola Piovani
Volare,Dean Martin
Volare (Nel Blu Dipinto Di Blu),Gipsy Kings
Lasciatemi Cantare,Adriano Celentano
L'Italiano,Mandolini Italiani
Ciao Ciao Bambina,Domenico Modugno
Io Che Non Vivo Senza Te,Chiara Civello
Io Che Non Vivo (Senza Te),Il Volo
Come Le Viole,Peppino Gagliardi
Nocturne In C# Minor,Chopin
"La Traviata, Act 1: 'Libiamo ne' lieti calici'",The Three Tenors
La Traviata - Libiamo Ne' Lieti Calici,Giuseppe Verdi
I Found My Love In Portofino,Dalida
Yaad,Viguen
Don't Be Cruel,Elvis Presley
Caruso,Lucio Dalla
Eyes On Me,Céline Dion
Give Me Space,Umar Keyn & DNDM
Shabzadeh (Remix),Ebi
Shabzadeh,Ebi
Il Mondo,Jimmy Fontana
Il Mondo,Il Volo
Golaye Pooneh,Siavash Ghomeishi
Canima Qasd Eledir,Masud Amir Sepehr
Nameh Minevisam,RangbeRang
La Vie En Rose,Julio Iglesias & Dalida
Mammy Blue,Dalida
Mammy Blue,Demis Roussos
Sorry Seems To Be The Hardest Word,Elton John
Shape of You,Ed Sheeran
Vaghti Ke Man Ashegh Misham (Remix),Hayedeh
Vaghti Ke Man Ashegh Misham,Hayedeh
Deylaman,Banan
Karevan,Banan
Tasnife Boosehaye Baran,"Mohammadreza Shajarian, Homayoun Shajarian"
Dele Kuchulu,Mahasti
Tamoe Tamero,Reno
Shahram Shabpareh (Remix),Paria
Paria,Shahram Shabpareh
Marde Tanha,Farhad
Ay Eshgh (ft. Faramarz Aslani),Dariush
O Sole Mio (feat. Luciano Pavarotti),Bryan Adams & Luciano Pavarotti
You Are My Destiny (Live),Paul Anka
Hit The Road Jack,Ray Charles
To Mitooni (ft. Kamyar),Shahram Shabpareh
Your Man,Josh Turner
Vaghti Ke Az To Dooram,Hayedeh
La Donna e Mobile (lyrics),Luciano Pavarotti
Je n'ai Pas Changé (No Vengo Ni Voy),
Losing My Religion,R.E.M.
Dorogoi Dlinnoyu,Aleksandr Vertinskyi
Don't Worry Be Happy,Bobby McFerrin
Cheshm Cheshm Do Abro,Reza Sadeghi
El Amor,Julio Iglesias
Blue Christmas,Elvis Presley
Killing Me Softly,Bonnie Jeanne Taylor
Hedie (Remix),Siavash Ghomayshi
Mahe Man,Shajarian
Delkash - Parsoon Parsoon,
"Quando, Quando, Quando",Engelbert Humperdinck
Billie Jean,Michael Jackson
The Way You Make Me Feel,Michael Jackson
You Don't Have To Say You Love Me,Elvis Presley
Another Love,Tom Odell
Moon River,Louis Armstrong
Moje Kafe Aloud,Ghasem Jabeli
Bazgasht,Viguen
Tu Vo Fa l'Americano (Radio Ibiza Remix),Yolanda Be Cool & DCUP
Naz Nakon (ft. Saeed Panter),Nariman
"Oh, Pretty Woman",Roy Orbison
Alta Gracia,Oscar Harris
Ghadima,Manouchehr Sakhaei
Nam Name Eshgh,Masoud Kiani
To Kojayi,Bomrani
Khune,Sogand
Joone Khodet,Black Cats
Lady,Lionel Richie
Always Remember Us This Way,Lady Gaga
Bi Saranjam,Viguen
T'Amo e T'Amero,Peppino Gagliardi
Vada Karo,Kishore Kumar & Lata Mangeshkar
Bakhte Bidar,Banan
Gelooband,Erfan Tahmasbi
Aroose Khalij (Abadan),Sheila
Parla Piu Piano,Jonathan Antoine
Beautiful Life,Ace of Base
Jinge Jan,Darya Dadvar
Sarà Perché Ti Amo,Ricchi E Poveri
Waltz of The Marriage,Eleni Karaindrou
Shabam Tarik,Darya Dadvar
Shabe Yalda,Kourosh Yaghmaei
Gol Vajeh,Hayedeh
Gole Yakh,Kourosh Yaghmaei
Paeiz (Autumn),Kourosh Yaghmaei
Ketabe Hasti,Hayedeh
Sandy - Dokhtar Ahvazi,
Ghararemoon Yadet Nare,Mansour
"Piove (Ciao, Ciao Bambina)",Il Volo
Let's Twist Again,Generation Fête
"Everything I Do, I Do It For You",Bryan Adams
Love Story (Where Do I Begin?),
And I Love You So,Andy Williams
The World We Knew (Over And Over),Frank Sinatra
Nothing's Gonna Change My Love For You,George Benson
Sange Saboor,Mohsen Chavoshi
Puttin' On The Ritz,Taco
It's a Beautiful Life,Ace Of Base
Lego House / Life For Rent,Johnny Drille
Smooth (feat. Rob Thomas),Carlos Santana
Mani Axtar Darixanda,
Ro Daro Divare In Shahr,Mohammad Zare
Only You,The Platters
Desperado,Eagles
Gedme Gedme Gol Gozel Yar,
Come Waltz With Me,Demis Roussos
Ma Baker,Boney M.
Daddy Cool,Boney M.
Walk Off The Earth (ft. Luminati Suh),My Stupid Heart
Where Have You Been,Chris Rea
Marry You,Bruno Mars
Shahram Nazeri & Madakto Ensemble,
Khoshgel Man,Shahrouz
Nafas,Mehdi Yarrahi
Sharghi Ghamgin,Fereydoun Farrokhzad
Tequila,The Champs
Still Loving You,Scorpions
Felicita,Al Bano & Romina Power
Taaneh,Mahasti
Mambo Italiano,Renato Carosone
Pishdaramad (Remix),Ali Azimi
Io Che Non Vivo Senza Te,Caravelli
Io Che Non Vivo,Al Bano Carrisi
Suspicious Minds,Elvis Presley
Et Si Tu N'Existais Pas,Joe Dassin
Tamasha,Mahasti
Zendegi,Alireza Ghorbani
Gramofon Waltz,Eugen Doga
Perfect,Ed Sheeran
La Cumparsita (Tango),
I Believe To My Soul,Ray Charles
Ey Dad,Seven Band
Jazireh,Manoochehr Sakhaee
Norouz Waltz,Ashourpour
Waltz-e Nowruzi,Golrokh Aminian
Just Give Me A Reason,Pink
Gerye Mamnoo,Shohreh
Eshareh,Googoosh
One Way Ticket,Eruption
Life Is Life,Fausto Papetti
The Godfather,Fausto Papetti
